coord,prob,n,zones,zone_mode,sort_method,zonal_sort,exp_density,var_density,min_density,median_density,max_density,exp_IB,var_IB,min_IB,median_IB,max_IB,exp_LB,var_LB,min_LB,median_LB,max_LB
swiss_eq,default,4,"(4, 4)",sweep,projection,center,0.11,0.15,-0.60,0.12,0.86,-0.23,0.02,-0.54,-0.25,0.06,0.39,0.02,0.12,0.36,0.65
swiss_uneq,default,4,"(4, 4)",sweep,projection,center,0.19,0.08,-0.40,0.22,0.86,-0.16,0.01,-0.31,-0.15,0.07,1.17,2.36,0.38,1.54,13.74
grid_eq,default,4,"(4, 4)",sweep,projection,spiral,-0.00,0.00,-0.19,0.00,0.16,-0.44,0.02,-0.77,-0.42,-0.11,0.41,0.02,0.00,0.48,0.62
grid_uneq,default,4,"(4, 4)",sweep,projection,spiral,-0.10,0.09,-0.88,-0.02,0.56,-0.18,0.02,-0.38,-0.21,0.17,0.77,18.71,0.16,0.48,633.65
random_eq,default,4,"(4, 4)",sweep,projection,spiral,-0.02,0.11,-0.57,0.10,0.62,-0.26,0.02,-0.49,-0.28,-0.00,0.39,0.02,0.11,0.35,0.62
random_uneq,default,4,"(4, 4)",sweep,projection,spiral,-0.15,0.05,-0.49,-0.15,0.55,-0.23,0.01,-0.43,-0.24,0.02,0.73,3.30,0.19,0.53,98.59
clust_eq,default,4,"(4, 4)",sweep,projection,spiral,-0.07,0.08,-0.72,0.07,0.23,-0.26,0.02,-0.65,-0.30,0.09,0.39,0.01,0.21,0.39,0.61
clust_uneq,default,4,"(4, 4)",sweep,projection,spiral,-0.27,0.14,-0.86,-0.11,0.31,-0.26,0.01,-0.50,-0.29,0.03,0.67,0.93,0.19,0.58,20.13
swiss_eq,default,4,"(4, 4)",sweep,projection,spiral,0.04,0.10,-0.57,0.09,0.65,-0.28,0.01,-0.53,-0.30,-0.08,0.44,0.02,0.11,0.43,0.73
swiss_uneq,default,4,"(4, 4)",sweep,projection,spiral,0.20,0.10,-0.36,0.20,0.80,-0.18,0.01,-0.36,-0.17,-0.01,1.14,2.39,0.21,1.14,14.15
grid_eq,default,4,"(4, 4)",sweep,projection,max,-0.00,0.00,-0.27,0.00,0.24,-0.43,0.02,-0.77,-0.46,-0.11,0.41,0.02,0.00,0.44,0.62
grid_uneq,default,4,"(4, 4)",sweep,projection,max,-0.14,0.04,-0.59,-0.11,0.42,-0.21,0.02,-0.42,-0.22,0.18,0.79,18.67,0.25,0.49,633.57
random_eq,default,4,"(4, 4)",sweep,projection,max,-0.00,0.07,-0.61,-0.01,0.47,-0.28,0.01,-0.54,-0.27,-0.10,0.37,0.01,0.14,0.35,0.70
random_uneq,default,4,"(4, 4)",sweep,projection,max,-0.15,0.08,-0.62,-0.08,0.54,-0.25,0.01,-0.53,-0.25,0.04,0.71,3.34,0.26,0.50,98.54
clust_eq,default,4,"(4, 4)",sweep,projection,max,-0.07,0.07,-0.55,0.06,0.37,-0.30,0.03,-0.75,-0.27,0.01,0.37,0.01,0.22,0.36,0.55
clust_uneq,default,4,"(4, 4)",sweep,projection,max,-0.27,0.13,-0.85,-0.06,0.27,-0.24,0.01,-0.47,-0.25,0.11,0.67,0.93,0.22,0.58,20.13
swiss_eq,default,4,"(4, 4)",sweep,projection,max,0.08,0.09,-0.37,0.12,0.62,-0.28,0.02,-0.52,-0.32,0.06,0.42,0.02,0.19,0.37,0.70
swiss_uneq,default,4,"(4, 4)",sweep,projection,max,0.17,0.08,-0.19,0.11,0.78,-0.20,0.01,-0.39,-0.18,0.07,1.14,2.37,0.30,1.55,13.65
grid_eq,default,4,"(4, 4)",sweep,projection,hilbert,-0.00,0.00,-0.19,0.00,0.16,-0.44,0.02,-0.77,-0.42,-0.11,0.41,0.02,0.00,0.48,0.62
grid_uneq,default,4,"(4, 4)",sweep,projection,hilbert,-0.16,0.05,-0.60,-0.06,0.46,-0.22,0.02,-0.45,-0.22,0.09,0.78,18.73,0.22,0.55,633.57
random_eq,default,4,"(4, 4)",sweep,projection,hilbert,-0.01,0.03,-0.32,-0.04,0.46,-0.36,0.01,-0.55,-0.39,-0.13,0.42,0.02,0.18,0.40,0.66
random_uneq,default,4,"(4, 4)",sweep,projection,hilbert,-0.14,0.04,-0.59,-0.09,0.43,-0.19,0.01,-0.44,-0.20,0.09,0.71,3.36,0.20,0.48,98.65
clust_eq,default,4,"(4, 4)",sweep,projection,hilbert,-0.09,0.08,-0.55,0.07,0.22,-0.33,0.03,-0.74,-0.31,-0.12,0.39,0.01,0.22,0.37,0.55
clust_uneq,default,4,"(4, 4)",sweep,projection,hilbert,-0.25,0.16,-0.88,0.08,0.28,-0.26,0.01,-0.46,-0.28,0.08,0.68,0.92,0.23,0.58,20.13
swiss_eq,default,4,"(4, 4)",sweep,projection,hilbert,0.03,0.08,-0.44,-0.08,0.62,-0.32,0.01,-0.54,-0.35,-0.06,0.46,0.01,0.25,0.42,0.74
swiss_uneq,default,4,"(4, 4)",sweep,projection,hilbert,0.15,0.11,-0.39,0.02,0.77,-0.16,0.01,-0.35,-0.16,0.04,1.16,2.38,0.39,1.31,14.14
grid_eq,default,4,"(4, 4)",sweep,projection,farthest,0.00,0.01,-0.30,0.00,0.32,-0.43,0.03,-0.77,-0.46,-0.11,0.40,0.02,0.00,0.44,0.62
grid_uneq,default,4,"(4, 4)",sweep,projection,farthest,-0.15,0.05,-0.58,-0.13,0.39,-0.21,0.02,-0.50,-0.21,0.08,0.76,18.65,0.22,0.47,633.33
random_eq,default,4,"(4, 4)",sweep,projection,farthest,0.02,0.08,-0.47,0.08,0.68,-0.29,0.01,-0.56,-0.29,-0.13,0.35,0.01,0.14,0.32,0.64
random_uneq,default,4,"(4, 4)",sweep,projection,farthest,-0.14,0.13,-0.77,-0.11,0.77,-0.21,0.01,-0.45,-0.21,0.03,0.68,3.35,0.16,0.49,98.53
clust_eq,default,4,"(4, 4)",sweep,projection,farthest,-0.08,0.10,-0.72,0.06,0.39,-0.29,0.03,-0.81,-0.30,0.00,0.36,0.01,0.14,0.35,0.58
clust_uneq,default,4,"(4, 4)",sweep,projection,farthest,-0.27,0.10,-0.79,-0.29,0.30,-0.20,0.02,-0.40,-0.22,0.07,0.63,0.92,0.24,0.53,20.13
swiss_eq,default,4,"(4, 4)",sweep,projection,farthest,0.12,0.11,-0.48,0.15,0.91,-0.23,0.02,-0.54,-0.23,0.08,0.40,0.02,0.12,0.38,0.72
swiss_uneq,default,4,"(4, 4)",sweep,projection,farthest,0.22,0.11,-0.32,0.16,0.85,-0.18,0.00,-0.33,-0.17,0.11,1.16,2.37,0.34,1.30,13.26
grid_eq,default,4,"(4, 4)",sweep,projection,grid,-0.00,0.00,-0.19,0.00,0.16,-0.44,0.02,-0.77,-0.42,-0.11,0.41,0.02,0.00,0.48,0.62
grid_uneq,default,4,"(4, 4)",sweep,projection,grid,-0.15,0.07,-0.63,-0.15,0.55,-0.24,0.02,-0.45,-0.26,0.18,0.78,18.74,0.26,0.52,633.54
random_eq,default,4,"(4, 4)",sweep,projection,grid,0.00,0.03,-0.35,-0.06,0.36,-0.32,0.01,-0.54,-0.35,-0.13,0.40,0.02,0.15,0.41,0.66
random_uneq,default,4,"(4, 4)",sweep,projection,grid,-0.15,0.03,-0.52,-0.11,0.49,-0.27,0.01,-0.46,-0.26,-0.02,0.71,3.39,0.19,0.50,98.61
clust_eq,default,4,"(4, 4)",sweep,projection,grid,-0.08,0.09,-0.60,0.10,0.20,-0.35,0.02,-0.70,-0.35,-0.13,0.39,0.01,0.20,0.38,0.57
clust_uneq,default,4,"(4, 4)",sweep,projection,grid,-0.24,0.18,-0.87,0.03,0.27,-0.26,0.01,-0.50,-0.29,0.03,0.67,0.94,0.20,0.64,20.16
swiss_eq,default,4,"(4, 4)",sweep,projection,grid,0.05,0.08,-0.50,0.12,0.57,-0.27,0.01,-0.48,-0.28,-0.07,0.44,0.01,0.20,0.43,0.67
swiss_uneq,default,4,"(4, 4)",sweep,projection,grid,0.15,0.11,-0.26,0.08,0.82,-0.18,0.00,-0.31,-0.15,0.07,1.17,2.35,0.42,1.43,12.12
grid_eq,default,4,"(4, 4)",sweep,projection,shell,-0.00,0.00,-0.19,0.00,0.16,-0.44,0.02,-0.77,-0.42,-0.11,0.41,0.02,0.00,0.48,0.62
grid_uneq,default,4,"(4, 4)",sweep,projection,shell,-0.12,0.11,-0.77,0.03,0.47,-0.17,0.02,-0.49,-0.18,0.07,0.75,18.74,0.22,0.49,633.62
random_eq,default,4,"(4, 4)",sweep,projection,shell,0.03,0.12,-0.96,0.15,0.48,-0.25,0.04,-0.50,-0.27,0.30,0.35,0.01,0.11,0.37,0.54
random_uneq,default,4,"(4, 4)",sweep,projection,shell,-0.07,0.06,-0.63,-0.05,0.50,-0.24,0.02,-0.45,-0.25,0.04,0.68,3.34,0.15,0.44,98.59
clust_eq,default,4,"(4, 4)",sweep,projection,shell,-0.09,0.09,-0.70,0.05,0.38,-0.29,0.04,-0.75,-0.29,0.11,0.36,0.01,0.14,0.32,0.56
clust_uneq,default,4,"(4, 4)",sweep,projection,shell,-0.25,0.13,-0.89,-0.22,0.31,-0.19,0.03,-0.48,-0.22,0.23,0.65,0.93,0.19,0.55,20.16
swiss_eq,default,4,"(4, 4)",sweep,projection,shell,0.11,0.15,-0.60,0.12,0.86,-0.23,0.02,-0.54,-0.25,0.06,0.39,0.02,0.12,0.36,0.65
swiss_uneq,default,4,"(4, 4)",sweep,projection,shell,0.19,0.08,-0.40,0.22,0.86,-0.16,0.01,-0.31,-0.15,0.07,1.17,2.36,0.38,1.54,13.74
grid_eq,default,4,"(4, 4)",sweep,center,lexico-xy,-0.01,0.01,-0.19,0.00,0.16,-0.42,0.02,-0.77,-0.45,-0.11,0.42,0.02,0.00,0.44,0.62
grid_uneq,default,4,"(4, 4)",sweep,center,lexico-xy,-0.13,0.04,-0.57,-0.10,0.59,-0.16,0.02,-0.48,-0.16,0.10,0.78,18.71,0.19,0.50,633.57
random_eq,default,4,"(4, 4)",sweep,center,lexico-xy,0.02,0.04,-0.39,0.07,0.39,-0.35,0.01,-0.59,-0.39,-0.11,0.40,0.02,0.09,0.37,0.61
random_uneq,default,4,"(4, 4)",sweep,center,lexico-xy,-0.13,0.05,-0.60,-0.07,0.65,-0.21,0.01,-0.44,-0.22,0.08,0.72,3.31,0.18,0.50,98.56
clust_eq,default,4,"(4, 4)",sweep,center,lexico-xy,-0.07,0.08,-0.55,0.04,0.40,-0.25,0.01,-0.43,-0.28,0.04,0.38,0.01,0.20,0.38,0.61
clust_uneq,default,4,"(4, 4)",sweep,center,lexico-xy,-0.29,0.08,-0.63,-0.31,0.34,-0.20,0.01,-0.47,-0.19,0.01,0.66,0.92,0.22,0.53,20.12
swiss_eq,default,4,"(4, 4)",sweep,center,lexico-xy,0.08,0.09,-0.46,0.10,0.68,-0.28,0.02,-0.54,-0.31,0.09,0.43,0.02,0.12,0.44,0.73
swiss_uneq,default,4,"(4, 4)",sweep,center,lexico-xy,0.16,0.07,-0.28,0.12,0.75,-0.19,0.00,-0.38,-0.16,-0.03,1.16,2.36,0.21,1.41,12.14
grid_eq,default,4,"(4, 4)",sweep,center,lexico-yx,-0.01,0.01,-0.19,0.00,0.16,-0.42,0.02,-0.77,-0.45,-0.11,0.42,0.02,0.00,0.44,0.62
grid_uneq,default,4,"(4, 4)",sweep,center,lexico-yx,-0.16,0.05,-0.73,-0.13,0.48,-0.24,0.02,-0.47,-0.27,0.18,0.80,18.72,0.26,0.53,633.49
random_eq,default,4,"(4, 4)",sweep,center,lexico-yx,0.00,0.06,-0.58,0.08,0.54,-0.29,0.01,-0.53,-0.26,-0.09,0.39,0.02,0.11,0.39,0.64
random_uneq,default,4,"(4, 4)",sweep,center,lexico-yx,-0.16,0.09,-0.72,-0.10,0.52,-0.21,0.01,-0.42,-0.24,-0.01,0.72,3.35,0.20,0.47,98.52
clust_eq,default,4,"(4, 4)",sweep,center,lexico-yx,-0.08,0.09,-0.57,0.08,0.24,-0.36,0.02,-0.75,-0.34,-0.13,0.39,0.01,0.21,0.39,0.56
clust_uneq,default,4,"(4, 4)",sweep,center,lexico-yx,-0.24,0.18,-0.87,0.04,0.31,-0.27,0.01,-0.48,-0.29,0.00,0.67,0.93,0.22,0.61,20.16
swiss_eq,default,4,"(4, 4)",sweep,center,lexico-yx,0.07,0.07,-0.47,0.06,0.60,-0.27,0.01,-0.53,-0.28,0.04,0.43,0.01,0.18,0.43,0.70
swiss_uneq,default,4,"(4, 4)",sweep,center,lexico-yx,0.15,0.11,-0.22,0.08,0.76,-0.18,0.00,-0.31,-0.17,0.04,1.18,2.34,0.35,1.07,12.07
grid_eq,default,4,"(4, 4)",sweep,center,random,-0.01,0.11,-0.60,-0.10,0.63,-0.27,0.02,-0.61,-0.29,0.01,0.34,0.01,0.09,0.32,0.47
grid_uneq,default,4,"(4, 4)",sweep,center,random,-0.10,0.11,-0.79,-0.08,0.72,-0.18,0.01,-0.41,-0.17,0.01,0.73,18.66,0.22,0.45,633.38
random_eq,default,4,"(4, 4)",sweep,center,random,0.02,0.11,-0.68,0.16,0.54,-0.23,0.01,-0.53,-0.20,-0.05,0.35,0.01,0.19,0.36,0.50
random_uneq,default,4,"(4, 4)",sweep,center,random,-0.12,0.11,-0.63,0.07,0.56,-0.21,0.01,-0.45,-0.22,0.00,0.71,3.29,0.20,0.47,98.52
clust_eq,default,4,"(4, 4)",sweep,center,random,-0.08,0.08,-0.59,0.06,0.36,-0.29,0.03,-0.89,-0.27,0.13,0.38,0.01,0.18,0.38,0.59
clust_uneq,default,4,"(4, 4)",sweep,center,random,-0.25,0.15,-0.91,-0.06,0.34,-0.18,0.01,-0.43,-0.21,0.05,0.67,0.92,0.26,0.59,20.13
swiss_eq,default,4,"(4, 4)",sweep,center,random,0.13,0.07,-0.45,0.17,0.63,-0.26,0.02,-0.51,-0.26,-0.06,0.40,0.01,0.19,0.39,0.68
swiss_uneq,default,4,"(4, 4)",sweep,center,random,0.17,0.11,-0.38,0.15,0.88,-0.16,0.01,-0.40,-0.16,0.07,1.17,2.38,0.39,1.35,11.82
grid_eq,default,4,"(4, 4)",sweep,center,angle_0,0.00,0.02,-0.38,0.00,0.31,-0.39,0.02,-0.77,-0.41,-0.09,0.40,0.02,0.00,0.36,0.62
grid_uneq,default,4,"(4, 4)",sweep,center,angle_0,-0.15,0.04,-0.62,-0.15,0.54,-0.20,0.02,-0.42,-0.22,0.06,0.81,18.69,0.26,0.53,633.47
random_eq,default,4,"(4, 4)",sweep,center,angle_0,-0.01,0.07,-0.54,0.10,0.46,-0.32,0.01,-0.53,-0.31,-0.05,0.40,0.01,0.17,0.39,0.62
random_uneq,default,4,"(4, 4)",sweep,center,angle_0,-0.15,0.05,-0.61,-0.12,0.52,-0.21,0.01,-0.46,-0.22,0.08,0.72,3.34,0.19,0.47,98.52
clust_eq,default,4,"(4, 4)",sweep,center,angle_0,-0.09,0.08,-0.64,0.07,0.25,-0.34,0.03,-0.81,-0.32,0.04,0.38,0.01,0.21,0.35,0.61
clust_uneq,default,4,"(4, 4)",sweep,center,angle_0,-0.29,0.13,-0.90,-0.13,0.28,-0.24,0.01,-0.51,-0.26,0.04,0.67,0.92,0.24,0.58,20.16
swiss_eq,default,4,"(4, 4)",sweep,center,angle_0,0.07,0.05,-0.51,0.10,0.61,-0.27,0.01,-0.55,-0.25,-0.07,0.44,0.02,0.13,0.44,0.73
swiss_uneq,default,4,"(4, 4)",sweep,center,angle_0,0.14,0.09,-0.32,0.10,0.82,-0.18,0.01,-0.39,-0.16,-0.03,1.16,2.35,0.21,1.59,12.17
grid_eq,default,4,"(4, 4)",sweep,center,distance_0,-0.01,0.04,-0.63,0.00,0.40,-0.40,0.02,-0.77,-0.42,-0.03,0.41,0.02,0.00,0.42,0.62
grid_uneq,default,4,"(4, 4)",sweep,center,distance_0,-0.14,0.05,-0.67,-0.12,0.36,-0.21,0.02,-0.49,-0.23,0.18,0.78,18.66,0.20,0.50,633.57
random_eq,default,4,"(4, 4)",sweep,center,distance_0,-0.01,0.09,-0.66,-0.01,0.53,-0.32,0.01,-0.52,-0.34,-0.04,0.40,0.01,0.20,0.37,0.70
random_uneq,default,4,"(4, 4)",sweep,center,distance_0,-0.14,0.05,-0.66,-0.12,0.55,-0.24,0.01,-0.49,-0.25,-0.00,0.71,3.33,0.19,0.50,98.47
clust_eq,default,4,"(4, 4)",sweep,center,distance_0,-0.06,0.06,-0.52,0.07,0.25,-0.30,0.03,-1.00,-0.29,0.02,0.38,0.01,0.17,0.36,0.60
clust_uneq,default,4,"(4, 4)",sweep,center,distance_0,-0.26,0.10,-0.88,-0.21,0.25,-0.26,0.01,-0.48,-0.28,0.03,0.66,0.92,0.22,0.55,20.13
swiss_eq,default,4,"(4, 4)",sweep,center,distance_0,0.06,0.09,-0.50,0.07,0.60,-0.30,0.01,-0.62,-0.31,-0.09,0.44,0.02,0.17,0.41,0.74
swiss_uneq,default,4,"(4, 4)",sweep,center,distance_0,0.17,0.08,-0.27,0.16,0.74,-0.20,0.01,-0.38,-0.17,0.06,1.14,2.38,0.30,1.48,12.54
grid_eq,default,4,"(4, 4)",sweep,center,projection,-0.02,0.06,-0.48,0.00,0.46,-0.36,0.03,-0.77,-0.41,-0.04,0.39,0.02,0.00,0.40,0.62
grid_uneq,default,4,"(4, 4)",sweep,center,projection,-0.12,0.07,-0.68,-0.14,0.57,-0.20,0.01,-0.42,-0.22,0.05,0.79,18.69,0.24,0.54,633.54
random_eq,default,4,"(4, 4)",sweep,center,projection,0.01,0.10,-0.63,0.09,0.57,-0.32,0.01,-0.48,-0.34,-0.02,0.38,0.01,0.20,0.36,0.70
random_uneq,default,4,"(4, 4)",sweep,center,projection,-0.14,0.06,-0.64,-0.15,0.46,-0.23,0.01,-0.48,-0.23,-0.00,0.70,3.34,0.18,0.47,98.43
clust_eq,default,4,"(4, 4)",sweep,center,projection,-0.07,0.06,-0.52,0.05,0.21,-0.33,0.04,-0.89,-0.32,0.03,0.38,0.01,0.19,0.37,0.56
clust_uneq,default,4,"(4, 4)",sweep,center,projection,-0.25,0.13,-0.88,0.00,0.27,-0.24,0.01,-0.49,-0.26,0.03,0.67,0.92,0.21,0.55,20.14
swiss_eq,default,4,"(4, 4)",sweep,center,projection,0.07,0.08,-0.47,0.07,0.60,-0.32,0.01,-0.54,-0.33,0.08,0.42,0.02,0.21,0.40,0.74
swiss_uneq,default,4,"(4, 4)",sweep,center,projection,0.16,0.09,-0.26,0.05,0.74,-0.19,0.00,-0.32,-0.16,-0.04,1.15,2.38,0.39,1.48,12.03
grid_eq,default,4,"(4, 4)",sweep,center,center,-0.01,0.01,-0.19,0.00,0.16,-0.42,0.02,-0.77,-0.45,-0.11,0.42,0.02,0.00,0.44,0.62
grid_uneq,default,4,"(4, 4)",sweep,center,center,-0.15,0.11,-0.85,-0.12,0.42,-0.18,0.02,-0.44,-0.20,0.31,0.78,18.70,0.27,0.51,633.51
random_eq,default,4,"(4, 4)",sweep,center,center,0.03,0.12,-0.96,0.16,0.47,-0.24,0.04,-0.51,-0.32,0.30,0.35,0.01,0.11,0.35,0.53
random_uneq,default,4,"(4, 4)",sweep,center,center,-0.07,0.06,-0.63,-0.06,0.49,-0.23,0.02,-0.46,-0.25,0.04,0.69,3.33,0.17,0.45,98.56
clust_eq,default,4,"(4, 4)",sweep,center,center,-0.09,0.09,-0.70,0.07,0.38,-0.29,0.04,-0.81,-0.25,0.10,0.35,0.01,0.14,0.31,0.56
clust_uneq,default,4,"(4, 4)",sweep,center,center,-0.25,0.13,-0.90,-0.21,0.31,-0.18,0.03,-0.48,-0.21,0.23,0.65,0.93,0.19,0.54,20.16
swiss_eq,default,4,"(4, 4)",sweep,center,center,0.11,0.15,-0.61,0.14,0.87,-0.23,0.02,-0.54,-0.24,0.05,0.39,0.02,0.12,0.38,0.65
swiss_uneq,default,4,"(4, 4)",sweep,center,center,0.19,0.08,-0.40,0.22,0.87,-0.16,0.01,-0.31,-0.15,0.07,1.18,2.34,0.26,1.23,11.73
grid_eq,default,4,"(4, 4)",sweep,center,spiral,-0.01,0.01,-0.19,0.00,0.16,-0.42,0.02,-0.77,-0.45,-0.11,0.42,0.02,0.00,0.44,0.62
grid_uneq,default,4,"(4, 4)",sweep,center,spiral,-0.11,0.10,-0.75,0.10,0.51,-0.16,0.02,-0.40,-0.16,0.16,0.75,18.64,0.20,0.45,633.42
random_eq,default,4,"(4, 4)",sweep,center,spiral,-0.01,0.11,-0.57,0.11,0.62,-0.26,0.02,-0.47,-0.25,-0.00,0.38,0.02,0.11,0.37,0.62
random_uneq,default,4,"(4, 4)",sweep,center,spiral,-0.15,0.05,-0.54,-0.12,0.45,-0.22,0.01,-0.43,-0.25,0.01,0.74,3.29,0.18,0.51,98.54
clust_eq,default,4,"(4, 4)",sweep,center,spiral,-0.07,0.09,-0.69,0.07,0.24,-0.26,0.02,-0.65,-0.29,0.04,0.39,0.01,0.22,0.40,0.61
clust_uneq,default,4,"(4, 4)",sweep,center,spiral,-0.27,0.14,-0.88,-0.10,0.34,-0.26,0.01,-0.47,-0.30,-0.01,0.67,0.93,0.19,0.58,20.13
swiss_eq,default,4,"(4, 4)",sweep,center,spiral,0.05,0.10,-0.59,0.09,0.65,-0.28,0.01,-0.53,-0.27,-0.05,0.44,0.02,0.11,0.43,0.73
swiss_uneq,default,4,"(4, 4)",sweep,center,spiral,0.21,0.10,-0.36,0.21,0.79,-0.18,0.01,-0.36,-0.16,-0.01,1.18,2.30,0.21,1.10,11.85
grid_eq,default,4,"(4, 4)",sweep,center,max,-0.01,0.01,-0.19,0.00,0.17,-0.41,0.02,-0.77,-0.46,-0.11,0.41,0.02,0.00,0.40,0.62
grid_uneq,default,4,"(4, 4)",sweep,center,max,-0.13,0.04,-0.53,-0.09,0.40,-0.21,0.02,-0.42,-0.22,0.18,0.79,18.67,0.25,0.50,633.57
random_eq,default,4,"(4, 4)",sweep,center,max,0.02,0.09,-0.89,0.08,0.55,-0.31,0.02,-0.53,-0.36,0.10,0.38,0.01,0.09,0.35,0.64
random_uneq,default,4,"(4, 4)",sweep,center,max,-0.11,0.09,-0.72,-0.05,0.51,-0.23,0.01,-0.44,-0.23,-0.02,0.70,3.31,0.20,0.44,98.45
clust_eq,default,4,"(4, 4)",sweep,center,max,-0.07,0.07,-0.57,0.04,0.37,-0.29,0.03,-0.89,-0.27,0.01,0.37,0.01,0.22,0.36,0.55
clust_uneq,default,4,"(4, 4)",sweep,center,max,-0.26,0.14,-0.89,0.03,0.30,-0.26,0.01,-0.50,-0.25,0.08,0.68,0.92,0.23,0.57,20.13
swiss_eq,default,4,"(4, 4)",sweep,center,max,0.09,0.09,-0.40,0.11,0.60,-0.27,0.02,-0.50,-0.30,0.06,0.42,0.02,0.17,0.40,0.68
swiss_uneq,default,4,"(4, 4)",sweep,center,max,0.17,0.08,-0.20,0.14,0.81,-0.19,0.00,-0.31,-0.18,0.06,1.14,2.38,0.30,1.18,12.73
grid_eq,default,4,"(4, 4)",sweep,center,hilbert,-0.01,0.01,-0.19,0.00,0.16,-0.42,0.02,-0.77,-0.45,-0.11,0.42,0.02,0.00,0.44,0.62
grid_uneq,default,4,"(4, 4)",sweep,center,hilbert,-0.14,0.05,-0.53,-0.08,0.45,-0.22,0.02,-0.48,-0.23,0.06,0.78,18.72,0.22,0.55,633.57
random_eq,default,4,"(4, 4)",sweep,center,hilbert,-0.01,0.02,-0.40,-0.03,0.43,-0.35,0.01,-0.52,-0.38,-0.11,0.42,0.01,0.22,0.41,0.70
random_uneq,default,4,"(4, 4)",sweep,center,hilbert,-0.14,0.05,-0.63,-0.08,0.37,-0.20,0.01,-0.45,-0.21,0.10,0.73,3.33,0.17,0.49,98.54
clust_eq,default,4,"(4, 4)",sweep,center,hilbert,-0.08,0.08,-0.57,0.07,0.21,-0.33,0.03,-0.74,-0.31,-0.12,0.39,0.01,0.20,0.38,0.55
clust_uneq,default,4,"(4, 4)",sweep,center,hilbert,-0.25,0.15,-0.89,0.04,0.29,-0.25,0.01,-0.47,-0.23,-0.01,0.68,0.92,0.22,0.56,20.13
swiss_eq,default,4,"(4, 4)",sweep,center,hilbert,0.04,0.08,-0.41,-0.07,0.60,-0.31,0.01,-0.49,-0.33,-0.04,0.46,0.01,0.25,0.42,0.74
swiss_uneq,default,4,"(4, 4)",sweep,center,hilbert,0.15,0.11,-0.40,-0.04,0.77,-0.16,0.01,-0.35,-0.15,0.08,1.18,2.34,0.39,1.43,11.84
grid_eq,default,4,"(4, 4)",sweep,center,farthest,-0.00,0.02,-0.36,0.00,0.39,-0.41,0.02,-0.77,-0.44,-0.11,0.41,0.02,0.00,0.37,0.62
grid_uneq,default,4,"(4, 4)",sweep,center,farthest,-0.14,0.05,-0.63,-0.16,0.39,-0.21,0.02,-0.51,-0.22,0.09,0.77,18.65,0.22,0.47,633.32
random_eq,default,4,"(4, 4)",sweep,center,farthest,0.02,0.08,-0.46,0.10,0.68,-0.30,0.01,-0.54,-0.30,-0.09,0.35,0.01,0.13,0.33,0.64
random_uneq,default,4,"(4, 4)",sweep,center,farthest,-0.13,0.14,-0.77,-0.09,0.72,-0.20,0.01,-0.45,-0.21,0.03,0.69,3.33,0.15,0.44,98.52
clust_eq,default,4,"(4, 4)",sweep,center,farthest,-0.07,0.10,-0.72,0.08,0.39,-0.29,0.03,-0.81,-0.30,0.00,0.36,0.01,0.14,0.36,0.58
clust_uneq,default,4,"(4, 4)",sweep,center,farthest,-0.27,0.10,-0.85,-0.29,0.31,-0.20,0.02,-0.40,-0.22,0.07,0.63,0.92,0.24,0.53,20.12
swiss_eq,default,4,"(4, 4)",sweep,center,farthest,0.11,0.11,-0.50,0.17,0.91,-0.23,0.02,-0.54,-0.21,0.07,0.39,0.02,0.12,0.38,0.72
swiss_uneq,default,4,"(4, 4)",sweep,center,farthest,0.22,0.11,-0.32,0.15,0.85,-0.18,0.00,-0.30,-0.16,0.12,1.16,2.37,0.34,1.57,14.99
grid_eq,default,4,"(4, 4)",sweep,center,grid,-0.01,0.01,-0.19,0.00,0.16,-0.42,0.02,-0.77,-0.45,-0.11,0.42,0.02,0.00,0.44,0.62
grid_uneq,default,4,"(4, 4)",sweep,center,grid,-0.16,0.07,-0.74,-0.08,0.33,-0.24,0.01,-0.42,-0.25,0.06,0.80,18.71,0.25,0.56,633.54
random_eq,default,4,"(4, 4)",sweep,center,grid,0.01,0.04,-0.37,-0.05,0.39,-0.32,0.01,-0.54,-0.33,-0.12,0.40,0.01,0.19,0.42,0.64
random_uneq,default,4,"(4, 4)",sweep,center,grid,-0.15,0.04,-0.52,-0.13,0.43,-0.26,0.01,-0.44,-0.27,-0.04,0.72,3.36,0.19,0.51,98.54
clust_eq,default,4,"(4, 4)",sweep,center,grid,-0.08,0.09,-0.60,0.09,0.21,-0.35,0.03,-0.89,-0.33,-0.13,0.39,0.01,0.22,0.39,0.56
clust_uneq,default,4,"(4, 4)",sweep,center,grid,-0.24,0.19,-0.87,0.03,0.29,-0.26,0.01,-0.44,-0.28,0.01,0.67,0.94,0.20,0.62,20.16
swiss_eq,default,4,"(4, 4)",sweep,center,grid,0.05,0.08,-0.50,0.09,0.57,-0.26,0.01,-0.53,-0.26,-0.05,0.44,0.01,0.22,0.42,0.66
swiss_uneq,default,4,"(4, 4)",sweep,center,grid,0.15,0.11,-0.26,0.07,0.80,-0.17,0.00,-0.31,-0.15,0.00,1.17,2.34,0.42,1.48,11.65
grid_eq,default,4,"(4, 4)",sweep,center,shell,-0.01,0.01,-0.19,0.00,0.16,-0.42,0.02,-0.77,-0.45,-0.11,0.42,0.02,0.00,0.44,0.62
