x,y,AREA,AREA_A,AREA_B
2697400,1282450,0.0,0.0,0.0
2700510,1279040,4.99,4.99,0.0
2694910,1282580,235.8,14.87,220.93
2694050,1282070,0.0,0.0,0.0
2695190,1278810,8.9,2.06,6.84
2695980,1279340,1.86,1.86,0.0
2709910,1262200,0.0,0.0,0.0
2715930,1114390,9.41,4.06,5.34
2692800,1149710,8.76,8.76,0.0
2717480,1114830,31.57,6.25,25.32
2701100,1112620,9.72,1.92,7.8
2698920,1114820,2.15,2.15,0.0
2713740,1113700,85.95,39.44,46.51
2710500,1113040,446.27,301.07,145.19
2700330,1113850,7.29,7.29,0.0
2700740,1114360,35.1,5.19,29.91
2726750,1121320,22.2,16.52,5.68
2701390,1113450,5.28,5.28,0.0
2706710,1110330,4.47,0.49,3.98
2717270,1109860,27.59,6.44,21.15
2713840,1090050,7.65,3.83,3.82
2708770,1096090,4.43,4.43,0.0
2712820,1098990,10.38,0.88,9.5
2717790,1106730,34.41,8.72,25.68
2726570,1118400,6.48,6.48,0.0
2718050,1107550,0.51,0.51,0.0
2711170,1091620,2.09,1.01,1.08
2707640,1094140,0.54,0.54,0.0
2706580,1094180,1.3,1.3,0.0
2715760,1113810,58.0,7.62,50.39
2714100,1094540,6.18,5.89,0.3
2712390,1094040,6.51,0.36,6.15
2716450,1101000,13.77,13.77,0.0
2707320,1094890,2.06,0.5,1.56
2716430,1098420,6.77,2.39,4.39
2721100,1080590,0.24,0.24,0.0
2722080,1076920,0.42,0.42,0.0
2721030,1076210,19.63,6.66,12.97
2722750,1075350,0.57,0.57,0.0
2717930,1078610,2.11,0.67,1.45
2718350,1078550,4.47,4.47,0.0
2717170,1083020,0.74,0.74,0.0
2720810,1077290,17.97,16.86,1.11
2717750,1079000,24.28,19.34,4.94
2716470,1077820,0.0,0.0,0.0
2714980,1077360,2.16,2.16,0.0
2718180,1132230,32.93,30.24,2.69
2718250,1115060,0.0,0.0,0.0
2718480,1129720,0.61,0.42,0.19
2701540,1125810,2.1,2.1,0.0
2701350,1126070,0.86,0.86,0.0
2715290,1092970,0.56,0.56,0.0
2716620,1097940,1.71,1.71,0.0
2696740,1123340,68.32,9.84,58.48
2718910,1129350,8.55,8.55,0.0
2716890,1134330,0.6,0.6,0.0
2721300,1113420,2.84,2.84,0.0
2719460,1079000,19.45,19.01,0.44
2718110,1114460,2.76,1.92,0.84
2723090,1078520,0.8,0.8,0.0
2718540,1138130,48.84,48.84,0.0
2717530,1082780,0.72,0.72,0.0
2722220,1079470,3.15,3.15,0.0
2717550,1080780,29.39,11.53,17.86
2718560,1078760,3.82,3.82,0.0
2715390,1091200,6.51,6.51,0.0
2716460,1114560,10.2,3.7,6.5
2705130,1112070,26.48,26.48,0.0
2718130,1080920,5.22,1.91,3.3
2720800,1077720,1.83,1.2,0.64
2722590,1083400,3.53,1.24,2.29
2712170,1113170,3.24,2.03,1.21
2714570,1077200,0.19,0.19,0.0
2718740,1078870,0.0,0.0,0.0
2714600,1113520,78.04,45.81,32.23
2717280,1114280,59.33,5.85,53.48
2692620,1198970,3.84,3.84,0.0
2689910,1192230,9.61,1.71,7.89
2680070,1196250,20.85,3.81,17.04
2688960,1193590,4.22,4.22,0.0
2689430,1194310,45.03,45.03,0.0
2688720,1193450,0.0,0.0,0.0
2526960,1162510,2.84,1.5,1.34
2527230,1163040,20.24,2.78,17.46
2532100,1166700,0.0,0.0,0.0
2529730,1163750,16.42,13.29,3.12
2534900,1163700,0.0,0.0,0.0
2537240,1170730,25.58,2.88,22.69
2537590,1187130,2.25,0.89,1.35
2541880,1185930,8.75,3.47,5.28
2539070,1192670,1.32,0.25,1.07
2534810,1157270,0.0,0.0,0.0
2519820,1146090,8.41,3.73,4.68
2521890,1150770,10.42,1.19,9.23
2543740,1168910,0.0,0.0,0.0
2557820,1136760,599.3,301.37,297.92
2502010,1135010,37.5,20.27,17.23
2508240,1142360,0.0,0.0,0.0
2500190,1130220,96.09,23.96,72.13
2500190,1132330,66.81,42.35,24.46
2507330,1143400,130.79,9.0,121.79
2509570,1141320,14.47,2.62,11.86
2503660,1142420,53.98,11.6,42.37
2528570,1171070,29.29,7.29,22.0
2530940,1182320,5.48,0.91,4.57
2532220,1168900,0.0,0.0,0.0
2533170,1174640,42.79,24.36,18.43
2530930,1180140,1.0,0.69,0.31
2528200,1177440,63.12,3.23,59.89
2558160,1157330,32.65,14.46,18.19
2559680,1193920,202.04,202.04,0.0
2562520,1187770,7.77,4.71,3.06
2560350,1184620,6.3,1.85,4.45
2562400,1188340,10.03,4.96,5.07
2556980,1148710,1.22,0.18,1.03
2535360,1180720,2.16,0.76,1.4
2542360,1182440,210.64,210.64,0.0
2538730,1183000,34.53,10.05,24.48
2547810,1183830,85.13,85.13,0.0
2546490,1182430,7.79,1.41,6.38
2544610,1181450,16.21,2.89,13.32
2545570,1181390,9.62,3.7,5.93
2564600,1123190,17.94,0.8,17.14
2566910,1121080,12.38,3.9,8.48
2517720,1154220,4.6,2.28,2.32
2514060,1152590,10.84,2.2,8.64
2519780,1158890,80.31,42.65,37.66
2565720,1198980,285.13,285.13,0.0
2569810,1202270,177.21,177.21,0.0
2534610,1162890,27.94,5.54,22.4
2555270,1136240,48.1,1.76,46.35
2578390,1111310,16.61,2.03,14.58
2554370,1122050,0.0,0.0,0.0
2555850,1122400,0.0,0.0,0.0
2553340,1132860,33.22,20.73,12.49
2550290,1132800,26.37,4.73,21.64
2552000,1115400,0.0,0.0,0.0
2567500,1103700,0.0,0.0,0.0
2610050,1127100,0.55,0.17,0.38
2592140,1120210,8.75,4.14,4.61
2588050,1112050,0.0,0.0,0.0
2611280,1127520,51.12,51.12,0.0
2602550,1127150,0.0,0.0,0.0
2631250,1122770,5.7,1.37,4.34
2648710,1139100,1.15,0.26,0.9
2650980,1140360,0.89,0.2,0.7
2641510,1136440,19.46,0.94,18.51
2561380,1122830,1.39,0.59,0.8
2559330,1126590,43.75,3.82,39.93
2585820,1115980,20.55,7.82,12.74
2599770,1121830,50.31,50.31,0.0
2570170,1109680,1.57,0.18,1.39
2686100,1229900,0.0,0.0,0.0
2686100,1225380,0.0,0.0,0.0
2673680,1232100,157.72,108.31,49.4
2687310,1228190,0.0,0.0,0.0
2674550,1221640,5.81,1.42,4.39
2679910,1229190,27.63,6.6,21.03
2677700,1229500,0.0,0.0,0.0
2694880,1271300,1.45,0.5,0.94
2693940,1261770,10.48,1.03,9.45
2674770,1246050,2.76,1.9,0.86
2699180,1258480,2.5,0.48,2.02
2692930,1261760,1.15,0.82,0.33
2694070,1260430,8.26,8.26,0.0
2679090,1253590,16.78,11.93,4.84
2681410,1239400,3.95,0.68,3.26
2677200,1241560,2.31,1.92,0.39
2691550,1261110,1.34,0.87,0.47
2709880,1236340,2.44,1.65,0.79
2693110,1260010,2.51,1.19,1.32
2681410,1245070,4.91,2.0,2.92
2682050,1241990,2.11,0.21,1.9
2691890,1276180,1.34,0.48,0.86
2673940,1233150,0.0,0.0,0.0
2677430,1243940,10.88,2.12,8.76
2673550,1233630,1.83,0.42,1.41
2691920,1263540,8.62,2.36,6.26
2682000,1267250,0.0,0.0,0.0
2695610,1268730,2.16,0.79,1.37
2698520,1268530,7.68,3.33,4.35
2680150,1236420,4.88,4.88,0.0
2699580,1269150,1.22,0.45,0.76
2694850,1270920,2.19,0.85,1.34
2708420,1236530,1.09,0.51,0.58
2699130,1247740,4.81,1.48,3.33
2687030,1271880,49.46,12.66,36.8
2687480,1270820,2.18,0.8,1.38
2688640,1271270,6.02,1.45,4.58
2686930,1271180,3.49,1.67,1.83
2678300,1268300,0.0,0.0,0.0
2700660,1241090,9.39,4.06,5.32
2699550,1241150,0.0,0.0,0.0
2701210,1239970,1.39,0.68,0.71
2699920,1270320,2.74,0.49,2.26
2695540,1271300,1.27,0.2,1.08
2709760,1263750,9.76,6.46,3.29
2709750,1262700,0.0,0.0,0.0
2684460,1231330,2.06,0.89,1.17
2677100,1239280,1.55,0.42,1.13
2696130,1266720,2.86,0.9,1.95
2691900,1271850,3.76,1.27,2.49
2705570,1247960,3.97,2.7,1.28
2695710,1251760,19.5,9.93,9.57
2693780,1254520,5.9,0.88,5.02
2698240,1250870,11.97,2.68,9.29
2680370,1229880,5.88,1.6,4.28
2681910,1232080,6.11,0.34,5.78
2683280,1259490,200.0,115.4,84.6
2692960,1274380,27.04,2.81,24.22
2695000,1273140,3.56,0.93,2.63
2692380,1274680,1.81,0.44,1.37
2685460,1258220,3.92,1.06,2.87
2689280,1258090,65.84,8.94,56.9
2687790,1256290,12.44,4.58,7.86
2708010,1246000,1.9,0.7,1.2
2692900,1280810,3.27,0.13,3.14
2686200,1260650,0.0,0.0,0.0
2687340,1272660,60.97,8.35,52.62
2674460,1231280,14.97,2.06,12.91
2674440,1232890,2.14,2.14,0.0
2690470,1244710,3.64,1.47,2.17
2678950,1232240,1.9,0.53,1.37
2694250,1266000,0.0,0.0,0.0
2691510,1257890,4.29,0.2,4.1
2706050,1243250,0.0,0.0,0.0
2682610,1257900,85.85,39.66,46.19
2701920,1275700,1.18,1.18,0.0
2701520,1275080,4.18,2.98,1.2
2674050,1233950,0.0,0.0,0.0
2673860,1233510,3.3,1.61,1.68
2672930,1235270,0.53,0.53,0.0
2672360,1237250,20.35,14.18,6.17
2673310,1236130,4.54,1.82,2.72
2704750,1249900,1.26,0.46,0.8
2690310,1255780,1.27,0.23,1.04
2683700,1274750,0.0,0.0,0.0
2679480,1254180,86.52,54.56,31.96
2689180,1254350,6.43,0.25,6.19
2689380,1277500,5.56,5.56,0.0
2701000,1266670,8.21,4.69,3.52
2701350,1250220,7.15,3.82,3.33
2688740,1254690,21.32,7.25,14.08
2696570,1271360,7.7,2.39,5.31
2697280,1276970,4.6,2.5,2.1
2701580,1279470,4.36,1.28,3.08
2699300,1242670,5.9,2.03,3.88
2695720,1246440,18.05,10.56,7.49
2695620,1247320,9.82,6.09,3.73
2695550,1243760,7.02,4.12,2.89
2697200,1243140,9.02,6.48,2.53
2694750,1248100,0.0,0.0,0.0
2696680,1247970,34.65,5.67,28.98
2691520,1249680,27.69,9.44,18.25
2694150,1251110,20.84,10.75,10.09
2695250,1248900,0.0,0.0,0.0
2692120,1251530,4.28,0.97,3.31
2691140,1252560,2.99,0.67,2.33
2675910,1268790,99.5,15.33,84.17
2702060,1243920,151.5,151.5,0.0
2702960,1239950,34.61,17.14,17.47
2706910,1251990,2.88,2.88,0.0
